C.D.S.  -  SIMBAD4 rel 1.8  -  2024.04.23CEST20:49:01,,,,,,,,,,,
,,,,,,,,,,,
PN Al,,,,,,,,,,,
-----,,,,,,,,,,,
,,,,,,,,,,,
Number of objects : 20,,,,,,,,,,,
,,,,,,,,,,,
# ,typed ident,            identifier             ,typ,"coord1 (ICRS,J2000/2000)","coord3 (FK4,B1950/1950)","coord4 (Gal,J2000/2000)",       pm       ,  radvel   ,  redshift  ,    cz     ,#not
--,-----------,-----------------------------------,---,---------------------------------------,---------------------------------------,-----------------------------------,----------------,-----------,------------,-----------,----
1,PN Al      ,PN Al 1,PN ,18 34 55.2533574888 -27 06 19.081866528,18 31 47.6150510798 -27 08 44.107225366,006.8437647968122 -08.6681873185317,-3.678 -6.721,72,0.000240,72.01,0
2,PN Al      ,PN Th 3-15,PN ,17 27 10.6020826176 -27 43 58.817283348,17 24 02.1156716633 -27 41 28.923322997,358.8319711706535 +04.0685462533677,            ~ ~ ,33,0.000110,33.00,0
3,PN Al      ,PN Al 2-B,PN ,17 27 47.1296613240 -28 11 03.395600016,17 24 37.9803138212 -28 08 35.880665597,358.5298410120947 +03.7068060390411,-4.835 -4.603,-168,-0.000560,-167.95,0
4,PN Al      ,PN Th 3-19,PN ,17 28 41.8036709330 -28 27 19.720375964,17 25 32.2107354824 -28 24 56.361864139,358.4143270939088 +03.3898280668607,            ~ ~ ,122,0.000407,122.02,0
5,PN Al      ,PN Al 2-D,*  ,17 29 27.7570640832 -29 47 08.687433552,17 26 16.1500355989 -29 44 48.572687794,357.3954090367547 +02.5168025417747,-4.126 0.046,~          ,~           ,~          ,2
6,PN Al      ,PN Al 2-E,PN ,17 30 14.4363597912 -27 30 20.385097740,17 27 06.2144953260 -27 28 03.764446442,359.3969176919706 +03.6274364101448,            ~ ~ ,-49,-0.000163,-49.00,0
7,PN Al      ,PN Al 2-F,PN ,17 30 30.44 -28 35 54.9,17 27 20.59 -28 33 39.4,358.51372 +02.97898,            ~ ~ ,~          ,~           ,~          ,0
8,PN Al      ,PN Al 2-G,PN ,17 32 22.5767585424 -28 14 28.841921808,17 29 13.2408769841 -28 12 21.144440673,359.0381497483169 +02.8301420704197,-5.060 -5.910,~          ,~           ,~          ,0
9,PN Al      ,PN Al 2-H,PN ,17 33 16.906 -30 26 30.74,17 30 04.181 -30 24 27.14,357.298624 +01.466436,            ~ ~ ,~          ,~           ,~          ,0
10,PN Al      ,PN Al 2-I,PN ,17 34 13.819 -27 56 00.95,17 31 04.884 -27 54 01.61,359.519173 +02.653871,            ~ ~ ,~          ,~           ,~          ,0
11,PN Al      ,PN Al 2-J,PN ,17 35 35.503 -27 24 06.49,17 32 27.328 -27 22 13.09,000.130207 +02.687244,            ~ ~ ,~          ,~           ,~          ,1
12,PN Al      ,PN Al 2-K,PN ,17 36 14.178 -28 00 46.33,17 33 05.088 -27 58 55.70,359.691514 +02.238178,            ~ ~ ,~          ,~           ,~          ,0
13,PN Al      ,PN Bl D                            ,PN ,17 46 02.76 -31 03 38.7,17 42 48.84 -31 02 30.6,358.23386 -01.18469,            ~ ~ ,~          ,~           ,~          ,0
14,PN Al      ,PN Al 2-M,*  ,17 47 47.3767664376 -32 20 51.663784236,17 44 31.3957801144 -32 19 51.250036942,357.3248382880622 -02.1686310307652,-7.858 2.594,~          ,~           ,~          ,2
15,PN Al      ,PN Al 2-N,PN?,17 49 34.9766757431 -27 40 46.403660731,17 46 26.1888896736 -27 39 54.027772594,001.5266498531431 -00.0960565262703,3.551 1.375,~          ,~           ,~          ,0
16,PN Al      ,PN Al 2-O,PN ,17 51 45.2906395529 -32 03 03.985685465,17 48 29.7234134758 -32 02 20.627476762,358.0099713357898 -02.7370185069113,-1.017 -2.990,~          ,~           ,~          ,0
17,PN Al      ,PN M 4-7,PN ,17 51 44.663 -31 36 00.18,17 48 29.820 -31 35 16.95,358.397551 -02.505601,            ~ ~ ,~          ,~           ,~          ,0
18,PN Al      ,PN Al 2-Q,PN ,17 53 25.040 -29 17 08.73,17 50 13.813 -29 16 32.95,000.575608 -01.640563,            ~ ~ ,~          ,~           ,~          ,0
19,PN Al      ,OGLE BLG-LPV-102396,LP*,17 53 36.4656690192 -31 25 25.842199368,17 50 21.9031301821 -31 24 50.361799898,358.7512281484765 -02.7584843822067,-3.303 -8.157,~          ,~           ,~          ,0
20,PN Al      ,PN Sa 3-92,PN ,17 54 52.062 -28 48 55.34,17 51 41.543 -28 48 25.93,001.141947 -01.676113,            ~ ~ ,~          ,~           ,~          ,0
================================================================================,,,,,,,,,,,